season,sheet,row,name,club,liga,tm_id,cambios,cont_old,cont_new,cont_cambia,excel_club,gk,antes,ahora
2026-27,DELANTEROS,282,Alexander Bernhardsson,Wolfsburgo,2. Bundesliga,633454,"SEL PJ, SEL Min",—,,False,Wolfsburgo,False,6/507/3/3 | 1/68/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/507/3/3 | 1/68/0/1 | 0/0/0/0 | 0/0/0/0 | 1/77/0/0
2026-27,DELANTEROS,297,Mohamed Alì Zoma,Núremberg,2. Bundesliga,935828,"SEL PJ, SEL Min",—,,False,Núremberg,False,6/523/6/0 | 1/67/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/523/6/0 | 1/67/0/0 | 0/0/0/0 | 0/0/0/0 | 1/10/0/0
2026-27,DELANTEROS,503,Mateusz Zukowski,1.FC Magdeburg,2. Bundesliga,470375,"SEL PJ, SEL Min",—,,False,1.FC Magdeburg,False,6/530/2/0 | 1/82/2/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/530/2/0 | 1/82/2/0 | 0/0/0/0 | 0/0/0/0 | 1/3/0/0
2026-27,DELANTEROS,536,Walter Bou,Lanús,Liga Argentina,334233,"COPA PJ, COPA Min, COPA A/CS",LIB,LIB,False,Lanús,False,17/950/2/0 | 3/109/1/0 | 5/131/0/1 | 0/0/0/0 | 0/0/0/0,17/950/2/0 | 4/185/1/2 | 5/131/0/1 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,557,Yamirou Ouorou,AC Horsens,Superliga,1295908,"SEL PJ, SEL Min",—,,False,AC Horsens,False,9/523/2/1 | 2/82/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,9/523/2/1 | 2/82/1/0 | 0/0/0/0 | 0/0/0/0 | 1/80/0/0
2026-27,DELANTEROS,601,Damir Redzic,RB Salzburgo,Bundesliga Austria,715956,"SEL PJ, SEL Min",UEL,UEL,False,RB Salzburgo,False,6/318/0/0 | 1/67/2/0 | 5/333/0/2 | 0/0/0/0 | 0/0/0/0,6/318/0/0 | 1/67/2/0 | 5/333/0/2 | 0/0/0/0 | 1/62/0/0
2026-27,DELANTEROS,631,Ibrahim Adel,Nordsjælland,Superliga,677278,"SEL PJ, SEL Min",UECL,UECL,False,Nordsjælland,False,9/485/1/1 | 0/0/0/0 | 4/215/0/2 | 0/0/0/0 | 0/0/0/0,9/485/1/1 | 0/0/0/0 | 4/215/0/2 | 0/0/0/0 | 1/2/0/0
2026-27,DELANTEROS,687,Taïryk Arconte,Millwall,Championship,855056,"SEL PJ, SEL Min",—,,False,Millwall,False,7/517/3/0 | 2/42/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/517/3/0 | 2/42/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DELANTEROS,756,Marcus Younis,Brøndby IF,Superliga,1099720,"SEL PJ, SEL Min",—,,False,Brøndby IF,False,9/589/1/1 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,9/589/1/1 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0 | 1/6/0/0
2026-27,DELANTEROS,805,Jearl Margaritha,SK Beveren,Liga Belga,538958,"SEL PJ, SEL Min",—,,False,SK Beveren,False,6/334/2/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/334/2/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/57/0/0
2026-27,DELANTEROS,996,Layton Stewart,FC Thun,Super League,580801,"LIGA PJ, LIGA Min, LIGA A/CS",UEL,UEL,False,FC Thun,False,4/280/2/0 | 1/31/0/0 | 3/13/0/0 | 0/0/0/0 | 0/0/0/0,5/354/2/1 | 1/31/0/0 | 3/13/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,1031,Carles Pérez,Girona FC,LaLiga2,282810,"LIGA PJ, LIGA Min, LIGA A/CS",—,,False,Girona FC,False,3/180/2/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/264/2/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,1080,Levi García,Panathinaikos,Super League 1,354587,"SEL PJ, SEL Min, SEL G/GC",UECL,UECL,False,Panathinaikos,False,5/417/0/0 | 1/45/0/1 | 3/215/1/0 | 0/0/0/0 | 0/0/0/0,5/417/0/0 | 1/45/0/1 | 3/215/1/0 | 0/0/0/0 | 1/76/1/0
2026-27,DELANTEROS,1105,Danilo,Botafogo,Brasileirão,808509,"LIGA PJ, LIGA Min, LIGA G/GC, LIGA A/CS, COPA PJ, COPA Min, CONT PJ, CONT Min, CONT G/GC, CONT A/CS",SUD,SUD,False,Botafogo,False,8/431/0/1 | 0/0/0/0 | 1/64/1/0 | 0/0/0/0 | 0/0/0/0,21/1764/9/2 | 6/436/0/0 | 8/610/3/1 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,1411,Álex Rubio,Albacete,LaLiga2,1151630,"LIGA PJ, LIGA Min",—,,False,Albacete,False,5/277/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/367/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,1584,Higinio Marín,Albacete,LaLiga2,242882,"LIGA PJ, LIGA Min",—,,False,Albacete,False,3/50/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/74/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,1655,Mario Soberón,Albacete,LaLiga2,522110,"LIGA PJ, LIGA Min",—,,False,Albacete,False,6/368/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/458/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,1798,José Corpas,Albacete,LaLiga2,379534,"LIGA PJ, LIGA Min",—,,False,Albacete,False,6/540/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/630/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DELANTEROS,2014,Edgar Sevikyan,AD Ceuta ,LaLiga2,430488,"SEL PJ, SEL Min",UEL,UEL,False,AD Ceuta ,False,3/186/0/0 | 0/0/0/0 | 1/16/0/0 | 0/0/0/0 | 0/0/0/0,3/186/0/0 | 0/0/0/0 | 1/16/0/0 | 0/0/0/0 | 1/8/0/0
2026-27,EXTREMOS,36,Tyrese Spicer,Orlando City,MLS,1214898,"SEL PJ, SEL Min",LC,LC,False,Orlando City,False,22/867/6/1 | 3/151/1/1 | 2/136/1/2 | 0/0/0/0 | 0/0/0/0,22/867/6/1 | 3/151/1/1 | 2/136/1/2 | 0/0/0/0 | 1/90/0/0
2026-27,EXTREMOS,170,Fafà Picault,Atlanta United FC,MLS,216683,"SEL PJ, SEL Min, SEL G/GC",—,,False,Atlanta United FC,False,18/742/3/1 | 2/168/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,18/742/3/1 | 2/168/1/0 | 0/0/0/0 | 0/0/0/0 | 1/58/1/0
2026-27,EXTREMOS,214,Peter Federico,Górnik Zabrze,Ekstraklasa,710004,"SEL PJ, SEL Min",UEL,UEL,False,Górnik Zabrze,False,7/511/4/0 | 0/0/0/0 | 5/226/0/0 | 0/0/0/0 | 0/0/0/0,7/511/4/0 | 0/0/0/0 | 5/226/0/0 | 0/0/0/0 | 1/70/0/0
2026-27,EXTREMOS,485,Ar'jany Martha,Telstar,Eredivisie,572519,"SEL PJ, SEL Min",—,,False,Telstar,False,6/66/0/1 | 1/28/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/66/0/1 | 1/28/0/1 | 0/0/0/0 | 0/0/0/0 | 1/57/0/0
2026-27,MEDIOCENTROS,85,Răzvan Marin,AEK Atenas,Super League 1,295183,"SEL PJ, SEL Min",UCL,UCL,False,AEK Atenas,False,5/422/1/3 | 1/81/0/1 | 3/266/2/0 | 0/0/0/0 | 0/0/0/0,5/422/1/3 | 1/81/0/1 | 3/266/2/0 | 0/0/0/0 | 1/81/0/0
2026-27,MEDIOCENTROS,105,Danley Jean Jacques,Philadelphia,MLS,628834,"SEL PJ, SEL Min",CCC,CCC,False,Philadelphia,False,25/2125/4/2 | 0/0/0/0 | 5/294/0/0 | 0/0/0/0 | 0/0/0/0,25/2125/4/2 | 0/0/0/0 | 5/294/0/0 | 0/0/0/0 | 1/84/0/0
2026-27,MEDIOCENTROS,153,Isaac Price,West Brom,Championship,612749,"SEL PJ, SEL Min",—,,False,West Brom,False,8/714/2/1 | 2/170/2/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/714/2/1 | 2/170/2/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,MEDIOCENTROS,228,Milán Vitális,AEK Atenas,Super League 1,640994,"SEL PJ, SEL Min",UCL,UCL,False,AEK Atenas,False,5/383/0/1 | 1/78/1/0 | 5/405/2/0 | 0/0/0/0 | 0/0/0/0,5/383/0/1 | 1/78/1/0 | 5/405/2/0 | 0/0/0/0 | 1/45/0/0
2026-27,MEDIOCENTROS,230,Ethan Galbraith,Stoke City,Championship,433991,"SEL PJ, SEL Min",—,,False,Stoke City,False,8/720/3/1 | 2/110/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/720/3/1 | 2/110/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,MEDIOCENTROS,244,Wayne Frederick,Colorado Rapids,MLS,1019470,"SEL PJ, SEL Min, SEL G/GC",—,,False,Colorado Rapids,False,23/1530/2/2 | 3/274/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,23/1530/2/2 | 3/274/0/0 | 0/0/0/0 | 0/0/0/0 | 1/84/1/0
2026-27,MEDIOCENTROS,250,Elías Cabrera,Tigre,Liga Argentina,668513,"LIGA PJ, LIGA Min, LIGA A/CS",SUD,SUD,False,Tigre,False,16/870/1/0 | 3/116/0/1 | 6/258/1/1 | 0/0/0/0 | 0/0/0/0,17/960/1/1 | 3/116/0/1 | 6/258/1/1 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,492,Santiago Toloza,Defensa y Justicia,Liga Argentina,995585,"COPA PJ, COPA Min",—,,False,Defensa y Justicia,False,6/204/0/3 | 1/59/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/204/0/3 | 2/99/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,705,Ebou Adams,Portsmouth FC,Championship,323652,"SEL PJ, SEL Min",—,,False,Portsmouth FC,False,7/323/1/1 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/323/1/1 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 1/21/0/0
2026-27,MEDIOCENTROS,752,Otar Kiteishvili,Sturm Graz,Bundesliga Austria,352596,"SEL PJ, SEL Min",UCL,UCL,False,Sturm Graz,False,2/53/0/0 | 1/13/1/0 | 1/45/0/1 | 0/0/0/0 | 0/0/0/0,2/53/0/0 | 1/13/1/0 | 1/45/0/1 | 0/0/0/0 | 1/13/0/0
2026-27,MEDIOCENTROS,779,Abubakr Barry,RB Salzburgo,Bundesliga Austria,657575,"SEL PJ, SEL Min",UEL,UEL,False,RB Salzburgo,False,7/540/0/2 | 1/62/0/0 | 5/450/0/0 | 0/0/0/0 | 0/0/0/0,7/540/0/2 | 1/62/0/0 | 5/450/0/0 | 0/0/0/0 | 1/69/0/0
2026-27,MEDIOCENTROS,791,Pablo Rosario,FC Porto,Portugal,370791,"SEL PJ, SEL Min, SEL G/GC",UCL,UCL,False,FC Porto,False,7/572/0/2 | 1/90/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0,7/572/0/2 | 1/90/0/0 | 1/90/0/0 | 0/0/0/0 | 1/90/1/0
2026-27,MEDIOCENTROS,860,Juninho Bacuna,Gaziantep FK,Süper Lig,348863,"SEL PJ, SEL Min, SEL A/CS",—,,False,Gaziantep FK,False,3/154/0/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,3/154/0/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/1
2026-27,MEDIOCENTROS,929,Armin Gigovic,Young Boys,Super League,651269,"SEL PJ, SEL Min",—,,False,Young Boys,False,9/690/1/0 | 1/15/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,9/690/1/0 | 1/15/0/0 | 0/0/0/0 | 0/0/0/0 | 1/1/0/0
2026-27,MEDIOCENTROS,1031,Izan González,Girona FC,LaLiga2,1060024,"LIGA PJ, LIGA Min",—,,False,Girona FC,False,6/415/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/505/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,1070,Tomás Avilés,CD O'Higgins,Liga de Primera,1064191,"COPA PJ, COPA Min",SUD,SUD,False,CD O'Higgins,False,6/175/0/0 | 1/90/1/0 | 2/32/0/0 | 0/0/0/0 | 0/0/0/0,6/175/0/0 | 2/100/1/0 | 2/32/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,1271,Nicky Souren,Cambuur,Eredivisie,364246,"SEL PJ, SEL Min",—,,False,Cambuur,False,7/630/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/630/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/1/0/0
2026-27,MEDIOCENTROS,1356,Riley McGree,Middlesbrough,Championship,428061,"SEL PJ, SEL Min",—,,False,Middlesbrough,False,8/446/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/446/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/14/0/0
2026-27,MEDIOCENTROS,1474,Agus Medina,Albacete,LaLiga2,336051,"LIGA PJ, LIGA Min",—,,False,Albacete,False,5/215/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/305/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,1479,Iván Morante,Girona FC,LaLiga2,548109,"LIGA PJ, LIGA Min",—,,False,Girona FC,False,5/200/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/290/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,1560,Kento Hashimoto,FC Tokyo,J1 League,785208,"LIGA PJ, LIGA Min, COPA PJ, COPA Min, COPA A/CS",—,,False,FC Tokyo,False,6/360/0/0 | 17/1221/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/220/0/0 | 20/1308/0/4 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,1626,Hector Kyprianou,Watford,Championship,661253,"SEL PJ, SEL Min",—,,False,Watford,False,8/720/0/0 | 2/123/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/720/0/0 | 2/123/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,MEDIOCENTROS,1676,Ismahila Ouédraogo,Odense BK,Superliga,878247,"SEL PJ, SEL Min",—,,False,Odense BK,False,7/585/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/585/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 1/71/0/0
2026-27,MEDIOCENTROS,1697,Joey Pelupessy,Lommel SK,Liga Belga,187293,"SEL PJ, SEL Min",—,,False,Lommel SK,False,7/630/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/630/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,MEDIOCENTROS,1812,Sergio Ortuño,Albacete,LaLiga2,531476,"LIGA PJ, LIGA Min",—,,False,Albacete,False,6/483/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/528/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,MEDIOCENTROS,1820,Hamza Choudhury,Sheff Utd,Championship,341501,"SEL PJ, SEL Min",—,,False,Sheff Utd,False,7/474/0/0 | 1/3/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/474/0/0 | 1/3/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,MEDIOCENTROS,2009,Joseph Ceesay,Empoli,Serie B,364278,"SEL PJ, SEL Min",—,,False,Empoli,False,4/267/0/0 | 1/77/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/267/0/0 | 1/77/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,MEDIOCENTROS,2227,Imourane Hassane,Grasshoppers,Super League,842074,"SEL PJ, SEL Min",—,,False,Grasshoppers,False,5/222/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,5/222/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,MEDIOCENTROS,2259,Antonio Pacheco,Albacete,LaLiga2,568156,"LIGA PJ, LIGA Min",—,,False,Albacete,False,5/211/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/285/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
