season,sheet,row,name,club,liga,tm_id,cambios,cont_old,cont_new,cont_cambia,excel_club,gk,antes,ahora
2026-27,DEFENSAS,1172,Dion Cools,Cerezo Osaka,J1 League,316422,"SEL PJ, SEL Min",—,,False,Cerezo Osaka,False,8/720/0/0 | 20/1405/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/720/0/0 | 20/1405/0/1 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1217,Zinedin Smajlović,Olympiacos ,Super League 1,958649,"SEL PJ, SEL Min",UCL,UCL,False,Olympiacos ,False,12/1013/0/1 | 2/172/0/0 | 2/43/0/0 | 0/0/0/0 | 0/0/0/0,12/1013/0/1 | 2/172/0/0 | 2/43/0/0 | 0/0/0/0 | 1/45/0/0
2026-27,DEFENSAS,1264,Alagie Saine,AC Horsens,Superliga,863829,"SEL PJ, SEL Min",—,,False,AC Horsens,False,9/810/0/1 | 1/80/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,9/810/0/1 | 1/80/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1311,Armando Obispo,PSV,Eredivisie,339337,"SEL PJ, SEL Min",UCL,UCL,False,PSV,False,7/617/0/0 | 0/0/0/0 | 1/90/0/1 | 0/0/0/0 | 0/0/0/0,7/617/0/0 | 0/0/0/0 | 1/90/0/1 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1315,Tom Atcheson,Blackburn,Championship,1087362,"SEL PJ, SEL Min",—,,False,Blackburn,False,7/588/0/1 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/588/0/1 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 1/86/0/0
2026-27,DEFENSAS,1353,Henri Koudossou,Arm. Bielefeld,2. Bundesliga,515624,"SEL PJ, SEL Min",—,,False,Arm. Bielefeld,False,6/486/0/1 | 1/120/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/486/0/1 | 1/120/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1415,Andrei Coubiș,Lincoln City,Championship,692349,"SEL PJ, SEL Min",UEL,UEL,False,Lincoln City,False,6/309/0/1 | 2/122/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0,6/309/0/1 | 2/122/0/0 | 1/90/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1451,Livano Comenencia,FC Zúrich,Super League,626764,"SEL PJ, SEL Min, SEL A/CS",—,,False,FC Zúrich,False,6/436/0/1 | 1/25/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/436/0/1 | 1/25/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/1
2026-27,DEFENSAS,1506,Yohan Roche,Iraklis ,Super League 1,524988,"SEL PJ, SEL Min",—,,False,Iraklis ,False,4/360/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/360/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1747,Nair Tiknizyan,Olympiacos ,Super League 1,461701,"SEL PJ, SEL Min",UCL,UCL,False,Olympiacos ,False,7/557/0/0 | 2/117/0/0 | 5/331/0/0 | 0/0/0/0 | 0/0/0/0,7/557/0/0 | 2/117/0/0 | 5/331/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,1829,Bright Osayi-Samuel,Birmingham,Championship,358948,"SEL PJ, SEL Min",—,,False,Birmingham,False,8/647/0/0 | 2/180/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/647/0/0 | 2/180/0/0 | 0/0/0/0 | 0/0/0/0 | 1/3/0/0
2026-27,DEFENSAS,1880,Juriën Gaari,Abha,Saudi Pro,328455,"SEL PJ, SEL Min",—,,False,Abha,False,7/630/0/0 | 1/120/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/630/0/0 | 1/120/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,2192,Steven Nador,Modena,Serie B,707219,"SEL PJ, SEL Min",—,,False,Modena,False,5/446/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,5/446/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,2224,Lluís López,Albacete,LaLiga2,262391,"LIGA PJ, LIGA Min",—,,False,Albacete,False,6/525/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/615/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DEFENSAS,2232,Carlos Neva,Albacete,LaLiga2,448844,"LIGA PJ, LIGA Min",—,,False,Albacete,False,6/521/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/611/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DEFENSAS,2481,Fran Gámez,Albacete,LaLiga2,442816,"LIGA PJ, LIGA Min",—,,False,Albacete,False,6/421/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,7/495/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DEFENSAS,2713,Elkan Baggott,Millwall,Championship,758030,"SEL PJ, SEL Min",—,,False,Millwall,False,6/154/0/0 | 2/180/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,6/154/0/0 | 2/180/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,2754,Sherel Floranus,PEC Zwolle,Eredivisie,315211,"SEL PJ, SEL Min",—,,False,PEC Zwolle,False,4/312/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/312/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,2770,Virgil Ghiță,Hannover 96,2. Bundesliga,340977,"SEL PJ, SEL Min",—,,False,Hannover 96,False,4/308/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,4/308/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,DEFENSAS,3128,Sang-hyeok Lee,Bucheon FC,K League 1,1362139,"LIGA PJ, LIGA Min, COPA PJ, COPA Min",—,,False,Bucheon FC,False,2/93/0/0 | 1/90/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,DEFENSAS,3604,Sandro Trémoulet,Karlsruher SC,2. Bundesliga,796897,"SEL PJ, SEL Min",—,,False,Karlsruher SC,False,2/54/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,2/54/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/0
2026-27,PORTEROS,33,Javier Burrai,Sarmiento,Liga Argentina,223888,"LIGA PJ, LIGA Min, LIGA G/GC",—,,False,Sarmiento,True,27/2430/28/10 | 1/90/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,28/2520/29/10 | 1/90/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,PORTEROS,138,Franco Armani,Atlético Nacional,Liga Dimayor Finalización,119634,"LIGA PJ, LIGA Min, LIGA G/GC",SUD,SUD,False,Atlético Nacional,True,8/675/7/2 | 2/135/0/2 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0,9/765/8/2 | 2/135/0/2 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0
2026-27,PORTEROS,223,Viktor Johansson,Stoke City,Championship,273742,"SEL PJ, SEL Min, SEL G/GC",—,,False,Stoke City,True,8/720/12/2 | 1/90/0/1 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/720/12/2 | 1/90/0/1 | 0/0/0/0 | 0/0/0/0 | 1/90/1/0
2026-27,PORTEROS,308,Pierce Charles,QPR,Championship,861600,"SEL PJ, SEL Min, SEL A/CS",—,,False,QPR,True,8/720/7/2 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,8/720/7/2 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0 | 1/90/0/1
2026-27,PORTEROS,364,Melvin Mastil,Lausanne-Sport,Super League,534398,"SEL PJ, SEL Min, SEL G/GC",—,,False,Lausanne-Sport,True,9/810/15/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,9/810/15/2 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 1/90/1/0
2026-27,PORTEROS,584,Carlos Marín,Albacete,LaLiga2,251877,"LIGA PJ, LIGA Min, LIGA G/GC",—,,False,Albacete,True,2/180/3/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,3/270/5/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0
2026-27,PORTEROS,655,Balázs Tóth,Blackburn,Championship,400044,"SEL PJ, SEL Min, SEL G/GC",—,,False,Blackburn,True,5/450/8/0 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0 | 0/0/0/0,5/450/8/0 | 1/90/1/0 | 0/0/0/0 | 0/0/0/0 | 1/90/1/0
